DT_UTC,DT_MT,LAT,LON,DEPTH,DTYPE,MAG,MTYPE,ETYPE,REF_ID,LOCATION,ALGORITHM
2006-09-24T05:26:23.000000Z,2006-09-24T05:26:23.000000Z,49.1089,-111.055,5,g,1.65,ml,SE,NA,"17 km NE of Aden, AB",GENLOC
2006-10-21T09:26:52.000000Z,2006-10-21T09:26:52.000000Z,52.735905,-116.133659,7,f,1.08,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2006-11-05T19:08:42.000000Z,2006-11-05T19:08:42.000000Z,51.1998,-116.1756,1,g,1.15,ml,SE,NA,"9 km NE of Rockwall Peak, AB",GENLOC
2006-11-08T19:05:08.000000Z,2006-11-08T19:05:08.000000Z,52.728874,-116.153597,8,f,2.74,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2006-11-21T08:05:06.000000Z,2006-11-21T08:05:06.000000Z,51.5194,-115.7114,1,g,1.14,ml,SE,NA,"25 km WNW of Panther Mountain, AB",GENLOC
2006-12-01T00:07:36.000000Z,2006-12-01T00:07:36.000000Z,52.2357,-115.2494,1,g,1.47,ml,SE,NA,"27 km SW of Rocky Mountain House, AB",GENLOC
2006-12-01T00:10:59.000000Z,2006-12-01T00:10:59.000000Z,52.3139,-115.2498,1,g,1.36,ml,SE,NA,"24 km WSW of Rocky Mountain House, AB",GENLOC
2006-12-02T20:56:46.000000Z,2006-12-02T20:56:46.000000Z,53.2913,-118.1658,10,g,2.09,ml,SE,NA,"48 km N of Jasper, AB",GENLOC
2006-12-06T05:48:07.000000Z,2006-12-06T05:48:07.000000Z,52.747282,-116.120801,6,f,1.38,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2006-12-08T05:54:20.000000Z,2006-12-08T05:54:20.000000Z,53.0168,-117.252,1,g,1.3,ml,SE,NA,"5 km ESE of Cadomin, AB",GENLOC
2006-12-23T13:24:29.000000Z,2006-12-23T13:24:29.000000Z,52.9435,-117.2365,1,g,1.07,ml,SE,NA,"12 km SE of Cadomin, AB",GENLOC
2006-12-29T21:13:09.000000Z,2006-12-29T21:13:09.000000Z,53.3444,-116.7682,1,g,2.07,ml,SE,NA,"3 km SSE of Weald, AB",GENLOC
2006-12-30T13:53:48.000000Z,2006-12-30T13:53:48.000000Z,49.1588,-112.7065,20,g,3.78,ml,SE,NA,"10 km NNE of Shanks Lake, AB",GENLOC
2007-01-22T07:22:36.000000Z,2007-01-22T07:22:36.000000Z,54.3097,-117.0724,1,g,2.46,ml,SE,NA,"20 km SW of Fox Creek, AB",GENLOC
2007-02-26T15:14:57.000000Z,2007-02-26T15:14:57.000000Z,52.72734,-116.153019,7,f,1.48,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2007-03-19T05:31:38.000000Z,2007-03-19T05:31:38.000000Z,52.2778,-115.3163,1,g,2.52,ml,SE,NA,"13 km WNW of Strachan, AB",GENLOC
2007-03-22T09:24:08.000000Z,2007-03-22T09:24:08.000000Z,52.736275,-116.145671,6,f,1.9,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2007-03-22T20:12:27.000000Z,2007-03-22T20:12:27.000000Z,52.4281,-113.6898,1,g,2.41,ml,SE,NA,"5 km SE of Lacombe, AB",GENLOC
2007-03-28T05:57:47.000000Z,2007-03-28T05:57:47.000000Z,52.745304,-116.120174,5,f,1.64,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2007-04-20T11:38:26.000000Z,2007-04-20T11:38:26.000000Z,52.2737,-115.2613,1,g,1.77,ml,SE,NA,"17 km SW of Ferrier, AB",GENLOC
2007-05-23T18:31:32.000000Z,2007-05-23T18:31:32.000000Z,58.9058,-118.3478,1,g,2.93,ml,SE,NA,"23 km NE of Habay, AB",GENLOC
2007-05-24T04:14:43.000000Z,2007-05-24T04:14:43.000000Z,53.1504,-116.971,1,g,2.98,ml,SE,NA,"5 km SE of Coalspur, AB",GENLOC
2007-05-25T23:09:55.000000Z,2007-05-25T23:09:55.000000Z,52.746387,-116.140731,6,f,1.83,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2007-06-07T21:47:55.000000Z,2007-06-07T21:47:55.000000Z,52.1446,-117.8359,5,g,1.51,ml,SE,NA,"82 km SSE of Jasper, AB",GENLOC
2007-06-17T14:51:21.000000Z,2007-06-17T14:51:21.000000Z,53.244,-118.4464,5,g,1.91,ml,SE,NA,"30 km WNW of Devona, AB",GENLOC
2007-07-06T19:02:31.000000Z,2007-07-06T19:02:31.000000Z,52.725183,-116.137866,8,f,2.66,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2007-07-06T19:06:04.000000Z,2007-07-06T19:06:04.000000Z,52.739754,-116.139648,4,f,1.86,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2007-07-08T11:23:53.000000Z,2007-07-08T11:23:53.000000Z,52.742871,-116.130973,4,f,2.08,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
2007-07-17T16:52:19.000000Z,2007-07-17T16:52:19.000000Z,52.746419,-116.121541,5,f,2.06,ml,KI,NA,"28 km NW of Harlech, AB",HYPODD
